name,description,agency,link,error
Productivity Solutions Grant,Adopt digital tools and solutions to raise your business’ productivity,,https://www.enterprisesg.gov.sg/</financial-support/productivity-solutions-grant>,False
Market Readiness Assistance Grant,"Get help to set up and promote your business overseas, and identify in-market business partners",,https://www.enterprisesg.gov.sg/</financial-support/market-readiness-assistance-grant>,False
SkillsFuture Enterprise Credit,The SFEC encourages employers to invest in enterprise transformation and the capabilities of their employees.,,https://www.enterprisesg.gov.sg/</financial-support/skillsfuture-enterprise-credit>,False
Enterprise Development Grant,"Upgrade your business, innovate, and venture overseas",,https://www.enterprisesg.gov.sg/</financial-support/enterprise-development-grant>,False
Enterprise Leadership for Transformation (ELT),Transform and grow your business through innovating and strategising with industry experts.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</grow-your-business/boost-capabilities/growth-and-transformation/enterprise-leadership-for-transformation,False
Scale-Up,Growth partnership programme for high-growth local companies to scale and become future global champions.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</grow-your-business/boost-capabilities/growth-and-transformation/scale-up,False
Executive-in-Residence Programme,Tap a network of experts for projects to transform your business in areas of expertise.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</grow-your-business/boost-capabilities/growth-and-transformation/executive-in-residence-programme,False
Local Enterprise and Association Development (LEAD) Programme,Drive capability development and internationalisation projects for SMEs.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/local-enterprise-and-association-development-programme,False
Singapore Global Enterprises Initiative,Growing promising Singapore enterprises into globally competitive industry leaders.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</grow-your-business/boost-capabilities/growth-and-transformation/singapore-global-enterprises-initiative,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/enterprise-development-grant>,False
Productivity Solutions Grant (PSG),Improve productivity through IT solutions and equipment.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/productivity-solutions-grant>,False
Productivity Solutions Grant (PSG),"Access support for job redesign to improve processes, workers’ tasks and responsibilities.",,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</grow-your-business/boost-capabilities/talent-attraction-and-development/productivity-solutions-grant>,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/enterprise-development-grant>,False
SkillsFuture Enterprise Credit (SFEC),Invest in enterprise transformation and capabilities of your employees.,,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/skillsfuture-enterprise-credit>,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/enterprise-development-grant>,False
Enterprise Financing Scheme – Green,Obtain green financing for sustainable solutions development. (For selected sectors and solutions only),Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/enterprise-financing-scheme---green>,False
Energy Efficiency Grant,Support for adopting pre-approved energy-efficient equipment.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/energy-efficiency-grant>,False
Sustainability Reporting Grant,Prepare your first sustainability report consistent with the International Sustainability Standards Board (ISSB) standards.,Enterprise Singapore,https://www.enterprisesg.gov.sg/grow-your-business/boost-capabilities/</financial-support/sustainability-reporting-grant>,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",,https://www.enterprisesg.gov.sg/grow-your-business/innovate-with-us/</financial-support/enterprise-development-grant>,False
Double Tax Deduction for Internationalisation,Enjoy tax deductions as you expand overseas and seek investment development opportunities.,,https://www.enterprisesg.gov.sg/grow-your-business/go-global/</financial-support/double-tax-deduction-for-internationalisation>,False
Enterprise Development Grant (EDG),"Tap on EDG for projects that help you upgrade, innovate, grow and transform your business.",,https://www.enterprisesg.gov.sg/grow-your-business/go-global/</financial-support/enterprise-development-grant>,False
Global Innovation Alliance,Enter overseas markets with confidence and connect with innovation communities.,,https://www.enterprisesg.gov.sg/grow-your-business/go-global/</grow-your-business/innovate-with-us/market-access-and-networks/global-innovation-alliance>,False
LEAD Trade Fairs and Business Missions,Tap funding and support through TACs for costs incurred when you join overseas trade fairs and missions.,,https://www.enterprisesg.gov.sg/grow-your-business/go-global/</grow-your-business/go-global/market-entry-support/lead-trade-fairs-and-business-missions>,False
Market Readiness Assistance (MRA) Grant,"Support for business development, promotion and set-up costs for new overseas market expansion.",,https://www.enterprisesg.gov.sg/grow-your-business/go-global/</financial-support/market-readiness-assistance-grant>,False
