capability_area,cost,error,event_address,event_date,event_description,event_mode,event_organiser,event_summary,event_time,event_title,event_type,event_venue,industries,link_to_event_page,market_focus,sub_capability_area
['quality & standards'],paid,False,"160 Robinson Road #06-01, Singapore 068914",2025-07-09 to 2025-07-09,"Our experience has shown that if the GST return Reviewer knows how and what to look out for during the quarterly GST reporting, a substantial part of the GST errors can be detected before the filing of the GST returns. Join us for this workshop where our trainer will share his “Cheat Sheet” of more than 50 detective controls that can be implemented during the review of the GST return. The workshop will cover topics such as GST reporting risks as per IRAS Assisted Compliance Assurance Programme, detective controls at GST reporting, and recent GST updates. Eddie Soh, an Accredited Tax Advisor (GST) with Singapore Chartered Tax Professional, will be the speaker. The target audience includes all Business Directors, Chief Financial Officers, Head of Finance, and accounting, finance, and tax professionals.",physical,Singapore Business Federation,A workshop designed to help participants learn how to review GST returns effectively and identify common errors.,09:00 to 12:30,GST Risks & Controls: How to Review Your GST Returns,['seminar or workshop'],SBF Center,['business services'],https://members.sbf.org.sg/training?page=1,['singapore'],
,,False,,,,,,,,,,,,https://members.sbf.org.sg/site/Images/SBF-WeChat.jpg,,
,,False,,,,,,,,,,,,https://www.sbf.org.sg/privacy-policy,,
,,False,"160 Robinson Road #06-01 SBF Center, Singapore 068914",,,,,,,,,,,https://members.sbf.org.sg/help-support,,
,,False,,,,,,,,,,,,https://www.sbf.org.sg/terms-of-use,,
,,False,"160 Robinson Road #06-01 SBF Center, Singapore 068914",,,,Singapore Business Federation,,,,,SBF Center,,https://www.sbf.org.sg/about-us/contact-us,,
,,False,,,,,,,,,,,,,,
['human capital'],free,False,,2025-05-21,,virtual,,,16:00 to 17:00,Briefing on Career Conversion Programme for Human Capital Professionals,seminar or workshop,,,https://members.sbf.org.sg/Briefing-on-Career-Conversion-Programmes-for-Human-Capital-Professionals_2,,
['internationalisation'],free,False,,2025-05-21,,virtual,,,11:00 to 12:00,Briefing on Overseas Markets Immersion Programme,seminar or workshop,,,https://members.sbf.org.sg/Briefing-on-Overseas-Markets-Immersion-Programme_2,,['knowledge']
['human capital'],free,False,,2025-05-19,,virtual,,,11:00 to 12:00,Briefing on Career Conversion Programme for SME Professionals,seminar or workshop,,,https://members.sbf.org.sg/Briefing-on-Career-Conversion-Programmes-for-SME-Professionals_2,,
['human capital'],free,False,,2025-05-19,,virtual,,,16:00 to 17:00,Briefing on Career Conversion Programme for Wholesale Trade Professionals,seminar or workshop,,['wholesale trade'],https://members.sbf.org.sg/Briefing-on-Career-Conversion-Programmes-for-Wholesale-Trade-Professionals_2,,
['quality & standards'],paid,False,,2025-07-09,,physical,,,09:00 to 12:30,GST Risks & Controls: How to Review Your GST Returns *Popular!*,seminar or workshop,,,https://members.sbf.org.sg/GST-Risks-Controls-How-to-Review-Your-GST-Returns-Popular_5,,
['internationalisation'],paid,False,,2025-06-19,,physical,,,09:00 to 12:00,The Tariff Finder Workshop *Popular!*,seminar or workshop,,,https://members.sbf.org.sg/The-Tariff-Finder-Workshop-Popular,,['compliance']
['innovation'],paid,False,,2025-06-30,,physical,,,14:00 to 17:00,AI-Powered Experiential Technologies: Seizing Growth Opportunities for Business,seminar or workshop,,,https://members.sbf.org.sg/AI-Powered-Experiential-Technologies-Seizing-Growth-Opportunities-for-Business,,
['human capital'],paid,False,,2025-06-19,,physical,,,09:00 to 17:00,Leading Empowered Teams for High Performance (1 Day Workshop),seminar or workshop,,,https://members.sbf.org.sg/Leading-Empowered-Teams-for-High-Performance-1-Day-Workshop_2,,
['internationalisation'],,False,,2025-06-16 to 2025-06-20,,physical,,,,OMW to Mongolia 2025,business mission,,,https://members.sbf.org.sg/OMW-to-Mongolia-2025,['asia-pacific'],['expand network']
['internationalisation'],free,False,,2025-05-19 to 2025-05-23,,physical,,,,Overseas Market Workshop to Indonesia,business mission,,,https://members.sbf.org.sg/Overseas-Market-Workshop-to-Indonesia,['southeast asia'],['expand network']
['internationalisation'],paid,False,,2025-09-17 to 2025-09-21,,physical,,,,China - ASEAN Expo 2025 (CAEXPO),tradeshow or conference,,,https://members.sbf.org.sg/China-ASEAN-Expo-2025-CAEXPO,['asia-pacific'],['publicity']
['internationalisation'],,False,,2025-11-05 to 2025-11-10,,physical,,,,China International Import Expo (CIIE) 2025,tradeshow or conference,,,https://members.sbf.org.sg/China-International-Import-Expo-CIIE-2025,['asia-pacific'],['publicity']
['internationalisation'],free,False,,2025-05-19 to 2025-05-23,,physical,,,,Overseas Market Workshop to Indonesia,['seminar or workshop'],,,https://members.sbf.org.sg/Overseas-Market-Workshop-to-Indonesia,"['southeast asia', 'indonesia']",
