name,short_name,type,valid_until,description,administering_agencies,supportable_activities,benefits,eligibility_criteria,target_audiences,outcomes,business_needs,link,error
Financial Sector Technology and Innovation Scheme (FSTI 3.0),FSTI,Grant (financial),March 2026,"The Financial Sector Technology and Innovation scheme provides support for the creation of a vibrant ecosystem for innovation. It aims to attract financial institutions, Corporate Venture Capital entities, and global Technology companies to set up centres of excellence in Singapore to test-bed innovative ideas and roll out market solutions. The scheme also supports industry-wide technological infrastructure projects to improve efficiency and boost productivity in the financial services sector.",['Monetary Authority of Singapore'],"{Setting up Centres of Excellence, building industry-wide technological infrastructure, improving efficiency in financial services.","Up to 50% and 25% co-funding on manpower expenses for Singapore Citizens and non-Singapore Citizens respectively, for a period of 24 months. Up to 50% co-funding on rental expense for office space capped at $250,000 per application, for a period of 24 months.","Applicants should be financial institutions, corporate venture capital entities, or global technology companies intending to set up a Centre of Excellence in Singapore. For industry-wide projects, applicants can be Singapore-based financial institutions, market or professional organisations, industry consortiums, or non-FI solution providers.","['Financial institutions', 'Corporate Venture Capital entities', 'Global Technology companies', 'Industry consortiums']","['Sectoral Impact', 'Innovation Project', 'Technology Adoption']","['Corporate Innovation', 'Operational Efficiency', 'Capability Investment']",https://www.mas.gov.sg/schemes-and-initiatives/fsti-scheme,False
Artificial Intelligence and Data Analytics (AIDA) Grant,AIDA,Grant (financial),March 2026,"The Artificial Intelligence and Data Analytics (AIDA) Grant is part of the Financial Sector Technology and Innovation (FSTI) scheme under the Financial Sector Development Fund (FSDF). It aims to promote AIDA adoption and strengthen the ecosystem by supporting projects focused on improving decision making and generating better insights. The grant targets small Singapore-based Financial Institutions, FinTechs, or Industry Consortiums, and supports projects that integrate AIDA techniques to generate richer insights or result in better quality decisions.",['Monetary Authority of Singapore'],"Projects that demonstrate the adoption of AIDA techniques to generate richer insights or result in better quality decisions, including integrating AIDA into products and services.","Provides up to 30% co-funding of qualifying expenses, capped at SGD $500,000. Manpower expenses for non-SCs (including PRs) are funded at up to 15%.","Open to small Singapore-based Financial Institutions with headcount of 200 or less, FinTechs registered with the Singapore FinTech Association, or Industry Consortiums. Projects should demonstrate the adoption of AIDA techniques.","['Small Singapore-based Financial Institutions', 'FinTechs', 'Industry Consortiums']","['Innovation Project', 'Technology Adoption', 'Core Business Capability Development']","['Corporate Innovation', 'Operational Efficiency', 'Capability Investment']",https://www.mas.gov.sg/schemes-and-initiatives/artificial-intelligence-and-data-analytics-aida-grant,False
MAS FSTI Innovation Acceleration - Early Innovation,MFIAEI,Grant (financial),March 2026,"The MAS Financial Sector Technology and Innovation (FSTI) Innovation Acceleration Track provides funding support for experimentation, development and dissemination of nascent innovative technologies in the financial services sector.",['Monetary Authority of Singapore'],"Experimentation, development, and dissemination of nascent innovative technologies in the financial services sector.","Up to 50% of qualifying costs and up to a cap of S$400,000. Funding duration is up to 18 months.","MAS-regulated financial institutions, technology/solution providers working with MAS-regulated financial institutions, or technology/solution providers developing novel technology and solutions that can improve the efficiency or productivity of the financial services sector in Singapore.","['MAS-regulated financial institutions', 'Technology/solution providers']","['Innovation Project', 'Technology Adoption']","['Corporate Innovation', 'Operational Efficiency']",https://www.mas.gov.sg/development/fintech/mas-fsti-innovation-acceleration-track---early-innovation,False
ESG FinTech Grant,EFG,Grant (financial),March 2026,"The Environmental, Social, and Governance (ESG) FinTech grant was launched as part of the Financial Sector Technology and Innovation (FSTI) scheme to spur the financial sector's adoption of ESG technology solutions. These solutions should empower financial institutions in addressing their key ESG data and infrastructure challenges, supporting their mobilising of capital towards sustainable activities and tracking of their net zero transition plans and programmes.",['Monetary Authority of Singapore'],"Projects should demonstrate the innovative use of technology to address financial institutions' business needs in the areas of ESG data and ESG infrastructure, and/or pioneer use cases in the financial services industry across other ESG FinTech verticals. Including, but not limited to, ESG RegTech, ESG Risk and InsurTech, Carbon Services, ESG Investment Management, ESG Lending, and ESG Payments.","Up to 50% of qualifying expenses capped at $500,000. Funding Duration of up to 18 months.","Open to eligible applicants. Applicants that are non-FIs must include one participating FI in the project who are Singapore-based FIs and market or professional organisations or associations, industry consortiums and non-FI solution providers/companies.","['Financial institutions', 'Non-FI solution providers', 'Industry consortiums']","['Innovation Project', 'Technology Adoption']","['Corporate Innovation', 'Capability Investment']",https://www.mas.gov.sg/schemes-and-initiatives/fsti-esg-fintech-grant,False
Regulatory Technology Grant,RTG,Grant (financial),Up to 18 months from project commencement date,"The Regulatory Technology (“RegTech”) Grant is part of the Financial Sector Transformation and Innovation (“FSTI”) scheme. It seeks to support financial institutions based in Singapore to enhance the efficiency of their risk management and compliance functions through the use of technological solutions. Qualifying solutions must be deployed and used in Singapore and fall within domains such as Know Your Customer/Client Due Diligence, Transaction Monitoring, Detection of Suspicious Activities, Regulatory Reporting, General Risk Management, Case Management, or other use cases proposed by applicants.",['Monetary Authority of Singapore'],"Technological solutions for risk management and compliance functions, including Know Your Customer/Client Due Diligence, Transaction Monitoring, Detection of Suspicious Activities, Regulatory Reporting, General Risk Management, and Case Management.","Up to 30% of qualifying expenses (except for manpower expenses for non-SCs, including PRs, which will be funded at up to 15%), capped at a maximum grant quantum of $100,000.",All Singapore-based FIs regulated by MAS where the headcount in Singapore is less than 200. The applicant must not have been awarded a RegTech grant during the FSTI 3.0 scheme period.,['Singapore-based financial institutions with less than 200 headcount'],"['Technology Adoption', 'Innovation Project']","['Operational Efficiency', 'Corporate Innovation']",https://www.mas.gov.sg/development/fintech/regtech-grant,False
Productivity Innovation Project,PIP,Grant (financial),31 March 2025,"The Productivity Innovation Project (PIP) incentive scheme co-funds up to 70% of the costs for technology adoption and innovations that improve productivity at construction sites. It aims to defray the costs required to re-engineer processes or adopt labour-efficient construction technologies, and encourages construction-related companies to embark on solution development projects that build up their capabilities, improve site productivity, and reduce site workers.",['Building and Construction Authority'],"Technology adoption, innovations, re-engineering processes, labour-efficient construction technologies, solution development projects","Up to 70% of the qualifying cost, capped at $1 million to $10 million per application depending on the level of productivity improvement and type of project",Construction-related companies that are registered and located in Singapore are eligible to apply for support.,['Construction-related companies'],"['Technology Adoption', 'Innovation Project']","['Operational Efficiency', 'Cost Management']",https://www1.bca.gov.sg/buildsg/buildsg-transformation-fund/productivity-innovation-project,False
Business Improvement Fund,BIF,Grant (financial),,"The Business Improvement Fund (BIF) helps tourism businesses boost productivity and competitiveness by supporting technology innovation and adoption, business model and process enhancements, and sustainability initiatives across the tourism industries.",['Singapore Tourism Board'],"Core Capabilities Improvements, Innovation and Productivity Improvements","Funding support for qualifying third-party project-related costs including consultancy fees, hardware or equipment, software, materials and consumables, training costs, and travel expenses.","Open to Singapore-registered businesses or companies, particularly tourism businesses taking on core capability development initiatives and technology companies creating innovative products and services for tourism businesses. Projects must not have commenced before STB’s offer.","['Singapore-registered tourism businesses', 'Technology companies creating innovative products for tourism']","['Innovation Project', 'Technology Adoption', 'Core Business Capability Development']","['Corporate Innovation', 'Operational Efficiency', 'Capability Investment']",https://www.stb.gov.sg/licensing-support/grants/business-improvement-fund,False
Experience Step-Up Fund,ESF,Grant (financial),,"The Experience Step-Up Fund (ESF) supports the development and enhancement of Singapore’s tourism experiences. It aims to increase the attractiveness of Singapore to visitors by supporting projects that improve visitor satisfaction, increase footfall, and enhance revenue. The fund is open to all legal entities and encourages foreign entities to partner with local entities.",['Singapore Tourism Board'],"Development of new products and experiences (including virtual experiences), content enhancements, adoption of technology to enhance visitor experiences, amenities enhancements, infrastructure enhancements.","Funding support for qualifying third-party project-related costs such as professional services, hardware/equipment and software, materials and consumables, production, and marketing. Specific conditions apply, such as funding support for the first run of production and a maximum of 6 months for marketing costs.","Open to all legal entities including businesses, associations, and government bodies. Projects must not have commenced prior to STB’s offer. Eligibility is subject to STB’s assessment. Foreign entities are encouraged to partner with local entities.","['Businesses', 'Associations', 'Government bodies']","['Innovation Project', 'Technology Adoption', 'Core Business Capability Development']","['Corporate Innovation', 'Operational Efficiency', 'Capability Investment']",https://www.stb.gov.sg/licensing-support/grants/experience-step-up-fund/,False
Startup SG Tech,SST,Grant (financial),,The Startup SG Tech grant fast-tracks the development of proprietary technology solutions and catalyses the growth of startups based on proprietary technology and a scalable business model. It supports Proof-of-Concept (POC) and Proof-of-Value (POV) for commercialisation of innovative technologies. The grant carries an equity component where Enterprise Singapore will have the rights to exercise a share subscription.,['Enterprise Singapore'],"Development of proprietary technology solutions, Proof-of-Concept (POC), Proof-of-Value (POV) for commercialisation of innovative technologies.",Early-stage funding for the commercialisation of proprietary technology. Grants awarded upon completion of each milestone.,,['Startups'],"['Innovation Project', 'Technology Adoption']","['Corporate Innovation', 'Capability Investment']",https://www.startupsg.gov.sg/programmes/4897/startup-sg-tech,False
The Enterprise Innovation and Capability Development Grant,InnoGrant,Grant (financial),,"Sport Singapore's enhanced Enterprise Innovation and Capability Development Grant (InnoGrant) is designed to catalyse the development of stronger growth engines within Singapore's sport and fitness industry. The grant offers financial support of up to S$1,000,000 per project. The objectives of the InnoGrant are to build capability and/or capacity of enterprise in the development and application of technology and/or innovation solutions to the sport and fitness industry; enable sport and fitness as a platform to encourage and stimulate collaborative research and development with adjacent industries; and surface innovative ideas/solutions that have the potential to be new growth engine(s) for sport and fitness industry.",['Sport Singapore'],"Performance Technology, Engagement and Experience Technology, Material Technology, Sustainability, Gamification and Active Virtual Sport Technology","Financial support of up to S$1,000,000 per project",,['Enterprises in the sport and fitness industry'],"['Innovation Project', 'Technology Adoption', 'Core Business Capability Development']","['Corporate Innovation', 'Capability Investment']",https://www.sportsingapore.gov.sg/support-resources/support-for-sport-businesses/grants/the-enterprise-innovation-and-capability/,False
