incentive_name,agency_administering,validity_period,website_link,incentive_type,eligibility_criteria,other_prerequisites,grant_sub_category,activity,supportable_cost_expense_items,funding_support,deliverables,industry,capability_areas,error
FSTI 3.0 – Centre of Excellence,Monetary Authority of Singapore,until March 2026,https://www.mas.gov.sg/schemes-and-initiatives/fsti-scheme,Grant,"['The applicant should be a financial institution (FI), a corporate venture capital entity (CVC) or a global technology company which intend to set up a Centre of Excellence in Singapore.']",Applicants should submit their applications 3 months before the commencement of the project to facilitate project discussions and processing of application.,,Set up centres of excellence to test-bed innovative ideas and roll out market solutions,"Manpower expenses for qualifying roles, rental expense for office space","Up to 50% and 25% co-funding on manpower expenses for SCs and non-SCs respectively, for a period of 24 months. Up to 50% co-funding on rental expense for office space capped at $250,000 per application, for a period of 24 months.",,['Financial Service'],['Innovation'],False
FSTI 3.0 – Industry-wide Technological Infrastructure or Utility,Monetary Authority of Singapore,until March 2026,https://www.mas.gov.sg/schemes-and-initiatives/fsti-scheme,Grant,"['This track is open to Singapore-based financial institutions (FIs), market or professional organisations or associations, industry consortiums, and non-FI solution providers/companies']",Applicants should submit their applications 3 months before the commencement of the project to facilitate project discussions and processing of application.,,Build industry-wide technological/utility infrastructure and improve efficiency and boost productivity,"Manpower expenses, professional services, hard/software infrastructure and licences, equipment and IP rights","Up to 50% and 25% co-funding on manpower expenses for SCs and non-SCs respectively, for up to 24 months.",,['Financial Service'],['Innovation'],False
Financing Asia’s Transition Partnership (FAST-P),Monetary Authority of Singapore,,https://www.mas.gov.sg/development/sustainable-finance,Programme,[],,,Support transition and decarbonisation projects,,Concessional capital to achieve a lower blended cost of capital,,['Sustainable Energy'],['Sustainability'],False
Financing Asia’s Transition Partnership (FAST-P),Monetary Authority of Singapore,,https://www.mas.gov.sg/development/sustainable-finance/taxonomy,Programme,[],,,Supporting transition and decarbonisation projects,,Concessional capital to achieve a lower blended cost of capital,,['Sustainable Energy'],['Sustainability'],False
Infrastructure Asia,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/sustainable-finance/sustainable-finance-solutions,Programme,[],,,Connecting infrastructure opportunities and ecosystems,,,,"['Sustainable Energy', 'Built Environment', 'Financial Service', 'All']","['Sustainability', 'Innovation']",False
Business sans Borders,Monetary Authority of Singapore (MAS) and Infocomm Media Development Authority (IMDA),,https://www.mas.gov.sg/development/fintech/business-sans-borders,Programme,[],,,SME digitalisation,,,,['All'],"['Digitalisation', 'Internationalisation', 'Innovation']",False
FinTech Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,[],Applicants seeking to provide digital advisory services should refer to MAS’ regulatory framework for digital advisers which is set out in the Guidelines on Provision of Digital Advisory Services. The regulatory sandbox will not be applicable for such applicants.,,Experimentation with innovative financial products or services,,,,['Financial Service'],['Innovation'],False
Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/sandbox,Programme,[],,,Experimentation with more complex business models,,,,['Financial Service'],['Innovation'],False
Sandbox Express,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/sandbox-express,Programme,[],,,Fast-track approvals for activities with low risks,,,,['Financial Service'],['Innovation'],False
Sandbox Plus,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/sandbox-plus,Programme,[],,,One-stop assistance in regulatory support and financial grant,,,,['Financial Service'],['Innovation'],False
Project Greenprint - ESG Disclosure Portal,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,[],,,Sustainability reporting and ESG data access,,,Corporate-level sustainability data uploads,['Financial Service'],['Sustainability'],False
Project Greenprint - ESG Registry,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,[],,,Tracking and analysis of sustainability commitments,,,Tamper-proof record of sustainability certifications,['Financial Service'],['Sustainability'],False
Project Greenprint - Data Orchestrator,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,[],,,Aggregation of sustainability data,,,Consent-based access to aggregated data sources,['Financial Service'],['Sustainability'],False
Project Greenprint - Greenprint Marketplace,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,[],,,Facilitating partnerships and investments in green solutions,,,Curated listings of solution providers and seekers,['Financial Service'],['Sustainability'],False
ESG Impact Hub,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Programme,[],,,Collaboration between ESG FinTechs and stakeholders,,,Facilitated collaboration environment,['Financial Service'],['Sustainability'],False
MAS FSTI Centre of Excellence Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/fsti-scheme,Grant,[],,,Set Up Centre of Excellence,,Up to 50% support to set-up centres of excellence or Corporate Venture Capital entities (CVC) in Singapore,,['Financial Service'],['Innovation'],False
