incentive_name,agency_administering,validity_period,website_link,incentive_type,eligibility_criteria,other_prerequisites,grant_sub_category,activity,supportable_cost_expense_items,funding_support,deliverables,industry,capability_areas,error
FSTI 3.0 – Centre of Excellence,Monetary Authority of Singapore,until March 2026,https://www.mas.gov.sg/schemes-and-initiatives/fsti-scheme,Grant,"['The applicant should be a financial institution (FI), a corporate venture capital entity (CVC) or a global technology company which intend to set up a Centre of Excellence in Singapore.']",Applicants should submit their applications 3 months before the commencement of the project to facilitate project discussions and processing of application.,,Set up a Centre of Excellence,"Manpower expenses for qualifying roles, rental expense for office space","Up to 50% and 25% co-funding on manpower expenses for Singapore Citizens (SCs) and non-SCs respectively, for a period of 24 months. Up to 50% co-funding on rental expense for office space capped at $250,000 per application, for a period of 24 months.",,['Financial Service'],['Innovation'],False
FSTI 3.0 – Industry-wide Technological Infrastructure or Utility,Monetary Authority of Singapore,until March 2026,https://www.mas.gov.sg/schemes-and-initiatives/fsti-scheme,Grant,"['This track is open to Singapore-based financial institutions (FIs), market or professional organisations or associations, industry consortiums, and non-FI solution providers/companies']",Applicants should submit their applications 3 months before the commencement of the project to facilitate project discussions and processing of application.,,Build industry-wide technological/utility infrastructure,"Manpower expenses, professional services, hard/software infrastructure and licences, equipment and IP rights","Up to 50% and 25% co-funding on manpower expenses for SCs and non-SCs respectively, for up to 24 months.",,['Financial Service'],['Innovation'],False
Grants for Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/grants-for-innovation,Grant,,,,Innovation funding,"Proof-of-concepts, hiring, business development",,,"['Financial Service', 'ICT & Media', 'All']",['Innovation'],False
Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,,,,Live experiments of innovation,,,,"['Financial Service', 'ICT & Media', 'All']",['Innovation'],False
Green FinTech,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/green-fintech,Grant,,,,Technology solutions and projects in Green Finance,,,,"['Sustainable Energy', 'Financial Service', 'All']","['Sustainability', 'Innovation']",False
,,,https://eservices.mas.gov.sg/rr,,,,,,,,,,,False
,,,https://www.mas.gov.sg/,,[],,,,,,,,,False
FinTech Regulatory Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/regulatory-sandbox,Programme,[],Applicants seeking to provide digital advisory services should refer to MAS’ regulatory framework for digital advisers which is set out in the Guidelines on Provision of Digital Advisory Services. The regulatory sandbox will not be applicable for such applicants.,,Experimentation with innovative financial products or services,,,,['Financial Service'],['Innovation'],False
Sandbox,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/sandbox,Programme,[],,,Experimentation with complex business models,,,,['Financial Service'],['Innovation'],False
Sandbox Express,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/sandbox-express,Programme,[],,,Fast-track approvals for low-risk activities,,,,['Financial Service'],['Innovation'],False
Sandbox Plus,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/sandbox-plus,Programme,[],,,One-stop assistance in regulatory support and financial grant,,,,['Financial Service'],['Innovation'],False
Business sans Borders,Monetary Authority of Singapore (MAS) and Infocomm Media Development Authority (IMDA),,https://www.mas.gov.sg/development/fintech/business-sans-borders,Programme,,,,SME digitalisation,,,,"['Financial Service', 'ICT & Media', 'All']","['Digitalisation', 'Innovation', 'Internationalisation']",False
MAS FSTI Centre of Excellence Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/fsti-scheme,Grant,,,,Set Up Centre of Excellence,,Up to 50% support to set-up centres of excellence or Corporate Venture Capital entities (CVC) in Singapore,,['Financial Service'],['Innovation'],False
MAS FSTI Industry-wide Technological Infrastructure or Utility Project Grant,Monetary Authority of Singapore,,https://www.mas.gov.sg/schemes-and-initiatives/fsti-scheme,Grant,,,,Do Industry-wide Projects,,Up to 50% support on thematic industry-wide or nation-wide utility projects,,['Financial Service'],['Innovation'],False
MAS FSTI Innovation Acceleration Track - Early Innovation,Monetary Authority of Singapore,,https://www.mas.gov.sg/development/fintech/mas-fsti-innovation-acceleration-track---early-innovation,Grant,,,,Encourage Experimentation,,Up to $400K to conduct experiment with novel technology and solutions,,['Financial Service'],['Innovation'],False
