name,description,agency,link,error
Mid-Career Pathways Programme for Mature Mid-career Individuals,The Mid-Career Pathways Programme is a full-time attachment programme for mature mid-career individuals aged 40 and above who are looking for a switch in careers. Suitable applicants will be attached to a host organisation where they can gain meaningful industry-relevant skills and experience. The attachments will last between four to six months.,Workforce Singapore,https://www.wsg.gov.sg/home/individuals/<https:/www.mycareersfuture.gov.sg/search?schemeIds=7&sortBy=relevancy&page=0>,FALSE
Employment Support for Seniors,"Employment Support for Seniors is a programme supported by Workforce Singapore, and administered by Centre for Seniors (CFS). It provides career advisory and job matching services to senior jobseekers aged 50 and above.","Workforce Singapore, Centre for Seniors (CFS)",https://www.wsg.gov.sg/home/individuals/attachment-placement-programmes,FALSE
SkillsFuture Jobseeker Support scheme,"The SkillsFuture Jobseeker Support scheme provides temporary financial support of up to $6,000 over 6 months to involuntarily unemployed individuals, to support them in finding a job that makes better use of their skills and experiences.",Workforce Singapore,https://www.wsg.gov.sg/home/individuals/jobseeker-support,FALSE
Career Conversion Programmes (CCPs) for Employers,CCPs help companies to meet manpower needs by providing funding support for reskilling of mid-career new hires and workers into in-demand growth jobs. Benefits include up to 90% salary support and industry-recognised on-the-job training across around 30 sectors.,Workforce Singapore,https://www.wsg.gov.sg/home/</home/employers-industry-partners/workforce-development-job-redesign/career-conversion-programmes-employers>,FALSE
Environmental Services Job Redesign Initiative,"Supporting ES enterprises to leverage job redesign to complement and sustain business and workforce transformation efforts. Benefits include curated support for the ES industry, professional JR consultancy, and job redesign reskilling salary support.",Workforce Singapore,https://www.wsg.gov.sg/home/</home/employers-industry-partners/workforce-development-job-redesign/environmental-services-job-redesign-initiative>,FALSE
Hiring Opportunities (Yellow Ribbon),This programme aims to help ex-offenders become job-ready and prepare them for re-integration into the workforce. Benefits include access to an alternative worker pool and career retention support.,Workforce Singapore,https://www.wsg.gov.sg/home/</home/employers-industry-partners/workforce-development-job-redesign/wsg-hiring-opportunities-yellow-ribbon>,FALSE
Job Redesign Centre of Excellence (JRCoE),"A one-stop resource to equip enterprises with capabilities to embark on business and workforce transformation journey through JR. Benefits include capability development workshops, guided sectoral JR playbooks, and HR resources on workforce planning.",Workforce Singapore,https://www.wsg.gov.sg/home/</home/employers-industry-partners/workforce-development-job-redesign/job-redesign-centre-of-excellence-\(jrcoe\)>,FALSE
Mid-Career Pathways Programme for Host Organisations,"Take on mature mid-career individuals on attachments to support business needs with government funding. Benefits include tapping on the experience of mature individuals, 70% of training allowance funding, and continued funding for early conversions.",Workforce Singapore,https://www.wsg.gov.sg/home/</home/employers-industry-partners/workforce-development-job-redesign/mid-career-pathways-programme-for-host-organisations>,FALSE
Overseas Markets Immersion Programme (OMIP) for Employers,"Expand your business to overseas market and improve global mobility by investing in a global-ready workforce. Benefits include access to new markets, increased employer value proposition, and reduced cost of developing global talent.",Workforce Singapore,https://www.wsg.gov.sg/home/</home/employers-industry-partners/workforce-development-job-redesign/omip-for-employers>,FALSE
Employment Support for Employers to hire Persons with Disabilities (PWDs),"Gain access to subsidies, grants, and employment facilitation services to help hire and integrate PWDs into the organisations. Benefits include course fee subsidy, job redesign grant, and recruitment and job support services.",Workforce Singapore,https://www.wsg.gov.sg/home/employers-industry-partners/</home/employers-industry-partners/workforce-development-job-redesign/for-employers-to-hire-persons-with-disabilities>,FALSE
Environmental Services Job Redesign Initiative,"Supporting ES enterprises to leverage job redesign to complement and sustain business and workforce transformation efforts. Benefits include curated support for the ES industry, access to professional JR consultancy, and job redesign reskilling salary support.",Workforce Singapore,https://www.wsg.gov.sg/home/employers-industry-partners/</home/employers-industry-partners/workforce-development-job-redesign/environmental-services-job-redesign-initiative>,FALSE
Support for Job Redesign under Productivity Solutions Grant,To find out how your company can incorporate job redesign and kick start your workforce transformation.,Workforce Singapore,https://www.wsg.gov.sg/home/employers-industry-partners/</home/employers-industry-partners/workforce-development-job-redesign/support-for-job-redesign-under-productivity-solutions-grant>,FALSE
SkillsFuture Credit,Course fee for Training Pathway is eligible for SkillsFuture Credit.,Workforce Singapore,https://www.wsg.gov.sg/home/career-practitioners/</home/individuals>,FALSE
Employment Support for Seniors,"Employment Support for Seniors is a programme supported by Workforce Singapore, administered by Centre for Seniors (CFS), to provide career advisory and job matching services to senior jobseekers aged 50 and above.","Workforce Singapore, Centre for Seniors (CFS)",https://www.wsg.gov.sg/home/individuals/attachment-placement-programmes/</home/individuals/attachment-placement-programmes>,FALSE
Workfare Skills Support (WSS) Scheme,"WSS encourages lower-wage workers to undertake training that leads to more impactful employment outcomes. Benefits include a Training Allowance at $6 per hour, capped at 180 training hours per eligibility period, a Training Commitment Award of up to $1,000 for courses attained during eligibility period, and Absentee Payroll for Sponsoring employers up to 95% of hourly basic salary capped at $13 per hour.",Workforce Singapore,https://www.wsg.gov.sg/home/individuals/attachment-placement-programmes/<https:/www.mom.gov.sg/-/media/mom/documents/budget2023/wss-factsheet.pdf>,FALSE
Mid-Career Pathways Programme for Mature Mid-career Individuals,The Mid-Career Pathways Programme is a full-time attachment programme for mature mid-career individuals aged 40 and above who are looking for a switch in careers. Suitable applicants will be attached to a host organisation where they can gain meaningful industry-relevant skills and experience. The attachments will last between four to six months.,Workforce Singapore,https://www.wsg.gov.sg/home/individuals/attachment-placement-programmes/omip-for-employees,FALSE
Career Trial,"Career Trial aims to encourage jobseekers and host companies who are unsure about the job fit to go through a short-term trial before considering formal employment. It is targeted at full-time jobs paying at least $1,500/month and part-time jobs paying at least $750/month.",Workforce Singapore (WSG) and the Employment and Employability Institute (NTUC’s e2i),https://www.wsg.gov.sg/home/individuals/attachment-placement-programmes/volunteer-career-advisors-initiative,FALSE
Career Conversion Programmes (CCP),"Career Conversion Programmes (CCPs) are conversion programmes targeted at mid-career individuals, to undergo skills conversion and switch to new jobs or sectors that have good longer-term prospects. Long-term unemployed or mature jobseekers aged 40 and above are eligible for higher funding support.",Workforce Singapore,https://www.wsg.gov.sg/home/individuals/attachment-placement-programmes/<https:/conversion.mycareersfuture.gov.sg/portal/programlisting.aspx?source=PCP>,FALSE
